Estado;Bacia;Nome_ANP;Nome_Operador;Campo;Operador;Contrato;Periodo;Oleo_bpd;Condensado_bpd;Petroleo_bpd;Gas_Natural_Associado_(Mm³/dia);Gas_Natural_Não Associado_(Mm³/dia);Gas_Natural_Total_(Mm³/dia);Volume_Gas_Royalties_(Mm³/dia);Agua_bpd;Instalacao_Destino;Tipo_Instalacao;Tempo_de_Producao_h_por_mes;Periodo_Carga;Corrente;Grau_API;Fracao_Destilados_Leves_Corte;Fracao_Destilados_Leves_Volume;Fracao_Destilados_Medios_Corte;Fracao_Destilados_Medios_Volume;Fracao_Destilados_Pesados_Corte;Fracao_Destilados_Pesados_Volume;Percentual_em_Volumes_Metano;Percentual_em_Volumes_Etano;Percentual_em_Volumes_Propano;Percentual_em_Volumes_Iso-Butano;Percentual_em_Volumes_Butano;Percentual_em_Volumes_Iso-Pentano;Percentual_em_Volumes_n-Pentano;Percentual_em_Volumes_Hexanos;Percentual_em_Volumes_Heptanos;Percentual_em_Volumes_Octanos;Percentual_em_Volumes_Nonanos;Percentual_em_Volumes_Decanos;Percentual_em_Volumes_Undecanos;Percentual_em_Volumes_Oxigenio;Percentual_em_Volumes_Nitrogenio;Percentual_em_Volumes_Gas Carbonico;Densidade_GLP_Gas;Densidade_GLP_Liquido;PCS_GP_KJ_por_metro_cubico;Data_Atualizacao
Rio Grande do Norte;Potiguar;7-LOR-59-RN;7LOR59RN;LORENA;Potiguar E&P S.A.;480000038079708;2023/02;30,5606;0,0000;30,5606;1,0590;0,0000;1,0590;29,61200;56,0871;Estação Coletora de Lorena;INSTALACAO EMB/DESEMB;626;;;;< ºC;%;;%;> ºC;%;81,096;8,9;5;1,17;1,6;0,46;0,49;0,33;0,15;0,05;0,01;0,002;0;0,006;0,6;0,136;2,04522;533,46421;40238,9734;08/04/2023
Rio Grande do Norte;Potiguar;7-ET-651-RN;7ET  0651  RN;ESTREITO;Petrobras;480000037939797;2023/02;1,2258;0,0000;1,2258;0,0005;0,0000;0,0005;0,01400;254,1541;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;646;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio Grande do Norte;Potiguar;7-ET-1393D-RN;7ET1393DRN;ESTREITO;Petrobras;480000037939797;2023/02;0,5784;0,0000;0,5784;0,0003;0,0000;0,0003;0,00700;29,2353;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;651;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio Grande do Norte;Potiguar;7-ET-695-RN;7ET  0695  RN;ESTREITO;Petrobras;480000037939797;2023/02;10,3418;0,0000;10,3418;0,0043;0,0000;0,0043;0,12000;13,8436;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;663;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio Grande do Norte;Potiguar;7-ET-911D-RN;7ET911DRN;ESTREITO;Petrobras;480000037939797;2023/02;2,0772;0,0000;2,0772;0,0009;0,0000;0,0009;0,02400;746,9219;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;670;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
Espírito Santo;Espírito Santo;4-BRSA-58HP-ES;4MA19HPES;MARIRICU NORTE;Seacrest SPE Cricaré;480000037609738;2023/02;6,9183;0,0000;6,9183;0,0131;0,0000;0,0131;0,36800;1,0318;Tanque isolado MA19 (Mariricu Norte);INSTALACAO EMB/DESEMB;671;2021/02;Espírito Santo;19,6;< 290ºC;20.1%;290ºC a 380ºC;14.5%;> 380ºC;65.4%;87,24;5,84;2,1;0,33;0,41;0,21;0,12;0,16;0;0;0;0;0;0;3,37;0,22;1,9888;526,69064;38043,677;08/04/2023
Rio Grande do Norte;Potiguar;7-ET-1774DA-RN;7ET1774DARN;ESTREITO;Petrobras;480000037939797;2023/02;1,2056;0,0000;1,2056;0,0004;0,0000;0,0004;0,01200;433,5234;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;670;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio Grande do Norte;Potiguar;7-ET-1292D-RN;7ET1292DRN;ESTREITO;Petrobras;480000037939797;2023/02;4,0410;0,0000;4,0410;0,0017;0,0000;0,0017;0,04700;615,8427;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;630;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio Grande do Norte;Potiguar;1-POTI-7-RN;1POTI7RN;ROLINHA;Níon Energia;486100092272002B;2023/02;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Estação Coletora de Rolinha;INSTALACAO EMB/DESEMB;0;2018/05;Rolinha;25;< 290ºC;21.3%;290ºC a 380ºC;13.8%;> 380ºC;64.9%;59,77487;13,44731;15,46391;2,28125;4,4865;0,89755;0,9941;1,22045;0;0;0;0;0;0,01025;1,4238;0,00001;2,01421;529,74947;42304,4549;08/04/2023
Rio Grande do Norte;Potiguar;7-PL-22-RN;7PL  0022  RN;FAZENDA POCINHO;Petrobras;480000037999773;2023/02;3,3873;0,0000;3,3873;0,0160;0,0000;0,0160;0,44800;157,0247;Estação Coletora Palmeira A;INSTALACAO EMB/DESEMB;648;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;08/04/2023
