Estado;Bacia;Nome_ANP;Nome_Operador;Campo;Operador;Contrato;Periodo;Oleo_bpd;Condensado_bpd;Petroleo_bpd;Gas_Natural_Associado_(Mm³/dia);Gas_Natural_Não Associado_(Mm³/dia);Gas_Natural_Total_(Mm³/dia);Volume_Gas_Royalties_(Mm³/dia);Agua_bpd;Instalacao_Destino;Tipo_Instalacao;Tempo_de_Producao_h_por_mes;Periodo_Carga;Corrente;Grau_API;Fracao_Destilados_Leves_Corte;Fracao_Destilados_Leves_Volume;Fracao_Destilados_Medios_Corte;Fracao_Destilados_Medios_Volume;Fracao_Destilados_Pesados_Corte;Fracao_Destilados_Pesados_Volume;Percentual_em_Volumes_Metano;Percentual_em_Volumes_Etano;Percentual_em_Volumes_Propano;Percentual_em_Volumes_Iso-Butano;Percentual_em_Volumes_Butano;Percentual_em_Volumes_Iso-Pentano;Percentual_em_Volumes_n-Pentano;Percentual_em_Volumes_Hexanos;Percentual_em_Volumes_Heptanos;Percentual_em_Volumes_Octanos;Percentual_em_Volumes_Nonanos;Percentual_em_Volumes_Decanos;Percentual_em_Volumes_Undecanos;Percentual_em_Volumes_Oxigenio;Percentual_em_Volumes_Nitrogenio;Percentual_em_Volumes_Gas Carbonico;Densidade_GLP_Gas;Densidade_GLP_Liquido;PCS_GP_KJ_por_metro_cubico;Data_Atualizacao
Rio de Janeiro;Campos;4-RJS-253-RJ;4RJS 0253  RJ;ENCHOVA OESTE;Trident Energy;480000037209713;2023/01;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;PLATAFORMA DE ENCHOVA;UEP;0;;;;< ºC;%;;%;> ºC;%;77,94216;9,98039;6,26225;0,71202;1,05304;0,16;0,153;0,068;0,031;0,004;0;0;0;0;2,5161;1,11804;1,96362;523,6906;39375,8971;13/03/2023
Rio de Janeiro;Campos;7-ENO-5D-RJS;7ENO 0005D RJS;ENCHOVA OESTE;Trident Energy;480000037209713;2023/01;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;PLATAFORMA DE ENCHOVA;UEP;0;;;;< ºC;%;;%;> ºC;%;77,94216;9,98039;6,26225;0,71202;1,05304;0,16;0,153;0,068;0,031;0,004;0;0;0;0;2,5161;1,11804;1,96362;523,6906;39375,8971;13/03/2023
Rio de Janeiro;Campos;7-ENO-6D-RJS;7ENO 0006D RJS;ENCHOVA OESTE;Trident Energy;480000037209713;2023/01;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;PLATAFORMA DE ENCHOVA;UEP;0;;;;< ºC;%;;%;> ºC;%;77,94216;9,98039;6,26225;0,71202;1,05304;0,16;0,153;0,068;0,031;0,004;0;0;0;0;2,5161;1,11804;1,96362;523,6906;39375,8971;13/03/2023
Rio de Janeiro;Campos;4-RJS-430D-RJ;4RJS 0430D RJ;ENCHOVA OESTE;Trident Energy;480000037209713;2023/01;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;PLATAFORMA DE ENCHOVA;UEP;0;;;;< ºC;%;;%;> ºC;%;77,94216;9,98039;6,26225;0,71202;1,05304;0,16;0,153;0,068;0,031;0,004;0;0;0;0;2,5161;1,11804;1,96362;523,6906;39375,8971;13/03/2023
Rio de Janeiro;Campos;3-BRSA-589-RJS;3ENO13RJS;ENCHOVA OESTE;Trident Energy;480000037209713;2023/01;911,4213;0,0000;911,4213;11,6691;0,0000;11,6691;354,97200;170,3863;PLATAFORMA DE ENCHOVA;UEP;732;;;;< ºC;%;;%;> ºC;%;77,94216;9,98039;6,26225;0,71202;1,05304;0,16;0,153;0,068;0,031;0,004;0;0;0;0;2,5161;1,11804;1,96362;523,6906;39375,8971;13/03/2023
Rio de Janeiro;Campos;3-BRSA-767A-RJS;3MA32ARJS;MARIMBÁ;Trident Energy;480000037329701;2023/01;546,4666;0,0000;546,4666;10,3005;0,0000;10,3005;315,74400;2.892,8778;PETROBRAS 08;UEP;637;;;;< ºC;%;;%;> ºC;%;67,83923;13,61386;9,676;1,03081;1,94374;0,35611;0,41983;0,2263;0,11745;0,02722;0,00015;0,00004;0;0;4,54543;0,20383;1,97301;524,80996;40228,5729;13/03/2023
Rio de Janeiro;Campos;3-MA-18DP-RJS;3MA  0018DPRJS;MARIMBÁ;Trident Energy;480000037329701;2023/01;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;PETROBRAS 08;UEP;0;;;;< ºC;%;;%;> ºC;%;67,83923;13,61386;9,676;1,03081;1,94374;0,35611;0,41983;0,2263;0,11745;0,02722;0,00015;0,00004;0;0;4,54543;0,20383;1,97301;524,80996;40228,5729;13/03/2023
Rio de Janeiro;Campos;7-MA-16D-RJS;7MA  0016D RJS;MARIMBÁ;Trident Energy;480000037329701;2023/01;91,8073;0,0000;91,8073;0,7811;0,0000;0,7811;23,94400;243,4163;PETROBRAS 08;UEP;196;;;;< ºC;%;;%;> ºC;%;67,83923;13,61386;9,676;1,03081;1,94374;0,35611;0,41983;0,2263;0,11745;0,02722;0,00015;0,00004;0;0;4,54543;0,20383;1,97301;524,80996;40228,5729;13/03/2023
Rio de Janeiro;Campos;7-MA-17D-RJS;7MA  0017D RJS;MARIMBÁ;Trident Energy;480000037329701;2023/01;684,6188;0,0000;684,6188;8,4083;0,0000;8,4083;257,74300;608,4111;PETROBRAS 08;UEP;420;;;;< ºC;%;;%;> ºC;%;67,83923;13,61386;9,676;1,03081;1,94374;0,35611;0,41983;0,2263;0,11745;0,02722;0,00015;0,00004;0;0;4,54543;0,20383;1,97301;524,80996;40228,5729;13/03/2023
Rio de Janeiro;Campos;7-MA-14D-RJS;7MA  0014D RJS;MARIMBÁ;Trident Energy;480000037329701;2023/01;269,9197;0,0000;269,9197;1,4465;0,0000;1,4465;44,34100;798,7302;PETROBRAS 08;UEP;314;;;;< ºC;%;;%;> ºC;%;67,83923;13,61386;9,676;1,03081;1,94374;0,35611;0,41983;0,2263;0,11745;0,02722;0,00015;0,00004;0;0;4,54543;0,20383;1,97301;524,80996;40228,5729;13/03/2023
