Estado;Bacia;Nome_ANP;Nome_Operador;Campo;Operador;Contrato;Periodo;Oleo_bpd;Condensado_bpd;Petroleo_bpd;Gas_Natural_Associado_(Mm³/dia);Gas_Natural_Não Associado_(Mm³/dia);Gas_Natural_Total_(Mm³/dia);Volume_Gas_Royalties_(Mm³/dia);Agua_bpd;Instalacao_Destino;Tipo_Instalacao;Tempo_de_Producao_h_por_mes;Periodo_Carga;Corrente;Grau_API;Fracao_Destilados_Leves_Corte;Fracao_Destilados_Leves_Volume;Fracao_Destilados_Medios_Corte;Fracao_Destilados_Medios_Volume;Fracao_Destilados_Pesados_Corte;Fracao_Destilados_Pesados_Volume;Percentual_em_Volumes_Metano;Percentual_em_Volumes_Etano;Percentual_em_Volumes_Propano;Percentual_em_Volumes_Iso-Butano;Percentual_em_Volumes_Butano;Percentual_em_Volumes_Iso-Pentano;Percentual_em_Volumes_n-Pentano;Percentual_em_Volumes_Hexanos;Percentual_em_Volumes_Heptanos;Percentual_em_Volumes_Octanos;Percentual_em_Volumes_Nonanos;Percentual_em_Volumes_Decanos;Percentual_em_Volumes_Undecanos;Percentual_em_Volumes_Oxigenio;Percentual_em_Volumes_Nitrogenio;Percentual_em_Volumes_Gas Carbonico;Densidade_GLP_Gas;Densidade_GLP_Liquido;PCS_GP_KJ_por_metro_cubico;Data_Atualizacao
Rio de Janeiro;Campos;7-AB-59H-RJS;7AB  0059H RJS;ALBACORA;Petrobras;4,8E+14;2023/02;969,53;0,00;969,53;7,52;0,00;7,52;210,25;438,38;PETROBRAS 31;UEP;619;2021/02;Albacora;27,1;< 270ºC;30.9%;270ºC a 458ºC;26.9%;> 458ºC;42.2%;73,49;11,4;6,29;0,91;1,81;0,49;0,79;1,01;0,59;0,18;0,04;0,03;0;0,06;0,78;2,13;2,01479;529,77735;40188,6028;08/04/2023
Rio de Janeiro;Campos;7-AB-110HP-RJS;7AB110HPRJS;ALBACORA;Petrobras;4,8E+14;2023/02;351,46;0,00;351,46;14,59;0,00;14,59;407,81;909,45;PETROBRAS 25;UEP;48;2021/02;Albacora;27,1;< 270ºC;30.9%;270ºC a 458ºC;26.9%;> 458ºC;42.2%;73,49;11,4;6,29;0,91;1,81;0,49;0,79;1,01;0,59;0,18;0,04;0,03;0;0,06;0,78;2,13;2,01479;529,77735;40188,6028;08/04/2023
Rio de Janeiro;Campos;7-ABL-13HP-RJS;7ABL13HPRJS;ALBACORA;Petro Rio Jaguar;4,8E+14;2023/02;139,55;0,00;139,55;2,48;0,00;2,48;69,24;120,15;PETROBRAS 50;UEP;8;2021/02;Albacora;27,1;< 270ºC;30.9%;270ºC a 458ºC;26.9%;> 458ºC;42.2%;73,49;11,4;6,29;0,91;1,81;0,49;0,79;1,01;0,59;0,18;0,04;0,03;0;0,06;0,78;2,13;2,01479;529,77735;40188,6028;08/04/2023
Rio de Janeiro;Campos;7-ABL-24HP-RJS;7ABL24HPRJS;ALBACORA;Petro Rio Jaguar;4,8E+14;2023/02;77,63;0,00;77,63;1,39;0,00;1,39;38,92;177,51;PETROBRAS 50;UEP;7;2021/02;Albacora;27,1;< 270ºC;30.9%;270ºC a 458ºC;26.9%;> 458ºC;42.2%;73,49;11,4;6,29;0,91;1,81;0,49;0,79;1,01;0,59;0,18;0,04;0,03;0;0,06;0,78;2,13;2,01479;529,77735;40188,6028;08/04/2023
Rio de Janeiro;Campos;7-AB-103HP-RJS;7AB103HPRJS;ALBACORA;Petrobras;4,8E+14;2023/02;1751,46;0,00;1751,46;31,08;0,00;31,08;868,89;5,79;PETROBRAS 25;UEP;0;2021/02;Albacora;27,1;< 270ºC;30.9%;270ºC a 458ºC;26.9%;> 458ºC;42.2%;73,49;11,4;6,29;0,91;1,81;0,49;0,79;1,01;0,59;0,18;0,04;0,03;0;0,06;0,78;2,13;2,01479;529,77735;40188,6028;08/04/2023
Rio de Janeiro;Campos;3-BRSA-1123-RJS;3AB125RJS;ALBACORA;Petrobras;4,8E+14;2023/02;9269,11;0,00;9269,11;311,52;0,00;311,52;8709,51;131,91;PETROBRAS 31;UEP;0;2021/02;Albacora;27,1;< 270ºC;30.9%;270ºC a 458ºC;26.9%;> 458ºC;42.2%;73,49;11,4;6,29;0,91;1,81;0,49;0,79;1,01;0,59;0,18;0,04;0,03;0;0,06;0,78;2,13;2,01479;529,77735;40188,6028;08/04/2023
Rio de Janeiro;Campos;7-ABL-84HP-RJS;7ABL84HPRJS;ALBACORA;Petro Rio Jaguar;4,8E+14;2023/02;61,42;0,00;61,42;1,55;0,00;1,55;43,26;91,68;PETROBRAS 50;UEP;5;2021/02;Albacora;27,1;< 270ºC;30.9%;270ºC a 458ºC;26.9%;> 458ºC;42.2%;73,49;11,4;6,29;0,91;1,81;0,49;0,79;1,01;0,59;0,18;0,04;0,03;0;0,06;0,78;2,13;2,01479;529,77735;40188,6028;08/04/2023
Rio de Janeiro;Campos;7-MLS-225D-RJS;7MLS225DRJS;MARLIM SUL;Petrobras;4,8E+14;2023/02;904,71;0,00;904,71;35,33;0,00;35,33;985,27;2726,18;PETROBRAS 40;UEP;657;2023/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;77,22;8,07;6,44;1,12;2,43;0,63;0,83;0,66;0,52;0,32;0,12;0,02;0;0;0,56;1,06;2,04569;533,49686;39717,3134;08/04/2023
Rio de Janeiro;Campos;7-MLS-167HPA-RJS;7MLS167HPARJS;MARLIM SUL;Petrobras;4,8E+14;2023/02;2037,31;0,00;2037,31;96,62;0,00;96,62;2694,60;5740,71;PETROBRAS 40;UEP;588;2023/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;77,22;8,07;6,44;1,12;2,43;0,63;0,83;0,66;0,52;0,32;0,12;0,02;0;0;0,56;1,06;2,04569;533,49686;39717,3134;08/04/2023
Rio de Janeiro;Campos;7-MLS-163HP-RJS;7MLS163HPRJS;MARLIM SUL;Petrobras;4,8E+14;2023/02;4653,75;0,00;4653,75;32,76;0,00;32,76;913,57;12436,18;PETROBRAS 56;UEP;672;2023/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;77,22;8,07;6,44;1,12;2,43;0,63;0,83;0,66;0,52;0,32;0,12;0,02;0;0;0,56;1,06;2,04569;533,49686;39717,3134;08/04/2023
Rio de Janeiro;Campos;7-MLS-175D-RJS;7MLS175DRJS;MARLIM SUL;Petrobras;4,8E+14;2023/02;5389,56;0,00;5389,56;51,69;0,00;51,69;1441,48;650,38;PETROBRAS 40;UEP;655;2023/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;77,22;8,07;6,44;1,12;2,43;0,63;0,83;0,66;0,52;0,32;0,12;0,02;0;0;0,56;1,06;2,04569;533,49686;39717,3134;08/04/2023
Rio de Janeiro;Campos;7-MLS-111HP-RJS;7MLS111HPRJS;MARLIM SUL;Petrobras;4,8E+14;2023/02;1817,67;0,00;1817,67;25,66;0,00;25,66;715,70;13967,41;PETROBRAS 51;UEP;672;2023/02;Marlim Sul;22,2;< 290ºC;28.4%;290ºC a 380ºC;13.9%;> 380ºC;57.7%;77,22;8,07;6,44;1,12;2,43;0,63;0,83;0,66;0,52;0,32;0,12;0,02;0;0;0,56;1,06;2,04569;533,49686;39717,3134;08/04/2023
